School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Union County High School,444,,,,,-84.9208953,39.635175
Bluffton High School,443,,,,,-85.1624555,40.7236325
Shenandoah High School,442,,,,,-85.5255344,40.0057614
North Newton Jr-Sr High Sch,440,,,,,-87.42552649999999,41.0357011
River Forest Jr-Sr High School,439,,,,,-87.27979080000001,41.5589266
Providence HS,437,,,,,-85.78360699999999,38.3065885
Whiting High School,434,,,,,-87.4937826,41.6810164
Delphi Community High School,430,,,,,-86.6649688,40.5752004
Wabash High School,427,,,,,-85.8250889,40.806979
Eastern Hancock High Sch,425,,,,,-85.60990720000001,39.8241433
Tell City Jr-Sr High School,421,,,,,-86.76340689999999,37.9546249
Northeastern High School,419,,,,,-84.9121811,39.9344466
Westview Jr-Sr High School,416,,,,,-85.5397318,41.6174014
Prairie Heights Sr High Sch,415,,,,,-85.2002749,41.639249
Taylor High School,413,,,,,-86.0547709,40.43532769999999
Milan High School,411,,,,,-85.128011,39.1293353
Heritage Christian,407,,,,,-86.05962,39.888176
South Spencer High School,407,,,,,-87.1063928,37.9035151
Switzerland Co Senior High Sch,404,,,,,-85.07983139999999,38.7413049
Park Tudor School (9-12),403,,,,,-86.1480418,39.8843004
Madison-Grant High School,401,,,,,-85.67368549999999,40.384119
North Knox High School,398,,,,,-87.3132612,38.8350125
Forest Park Jr-Sr High Sch,397,,,,,-86.85784199999999,38.2276191
Wapahani High School,396,,,,,-85.2639447,40.1676513
Austin High School,394,,,,,-85.8003737,38.7398727
Central Noble High School,393,,,,,-85.42005759999999,41.3976883
Cloverdale High School,382,,,,,-86.79126769999999,39.5119005
Knightstown High School,381,,,,,-85.54200829999999,39.7925592
Lake Station Edison Jr-Sr HS,381,,,,,-87.245178,41.5771221
Perry Central Jr-Sr High Sch,379,,,,,-86.60414999999999,38.11134699999999
Eastern Greene High School,377,,,,,-86.73748549999999,39.0308869
Winamac Community High School,377,,,,,-86.5963694,41.0458267
Adams Central High School,375,,,,,-84.942426,40.746696
Seeger Memorial Jr-Sr HS,375,,,,,-87.3881674,40.2981631
Eastside Junior-Senior High Sch,372,,,,,-84.86328999999999,41.43152
Indpls. Arlington Community HS,371,,,,,-86.0635161,39.8442112
Hebron High School,370,,,,,-87.19649509999999,41.31392650000001
Monroe Central Jr-Sr High Sch,370,,,,,-85.1676079,40.191922
F.W. Canterbury School,369,,,,,-85.2119561,41.0540212
South Adams High School,369,,,,,-84.95556789999999,40.6663905
North Judson-San Pierre High Sch,368,,,,,-86.7888486,41.2103777
Churubusco Jr-Sr High School,367,,,,,-85.3236374,41.2309817
Linton-Stockton High School,366,,,,,-87.1665422,39.0415839
South Knox Middle-High School,366,,,,,-87.422056,38.6354339
LaVille Jr-Sr High School,363,,,,,-86.3031157,41.4781872
South Putnam High School,363,,,,,-86.8158314,39.5828639
Indpls. Shortridge Law & Public Policy,361,,,,,-86.15562729999999,39.8181711
Signature School Inc,361,,,,,-87.5686546,37.9729899
Southwestern (Hanover) Middle/Sr HS,359,,,,,-85.4728999,38.710169
Indpls. Howe Comm High School,357,,,,,-86.08552449999999,39.7681112
South Ripley High School,354,,,,,-85.2502114,39.0510622
Carroll (Flora) Jr-Sr High Sch,353,,,,,-86.4804912,40.545908
Fountain Central High School,350,,,,,-87.22666009999999,40.1062136
Henryville Jr & Sr High Sch,349,,,,,-85.77059340000001,38.543589
Irvington Preparatory Academy,342,,,,,-86.06841299999999,39.765638
Hagerstown Jr-Sr High School,341,,,,,-85.161254,39.920567
Covenant Christian (Indpls.) HS,334,,,,,-86.29305839999999,39.7930563
Cambridge City Lincoln Sr High Sch,331,,,,,-85.16514649999999,39.8158337
Clinton Prairie Jr-Sr HS,330,,,,,-86.5920069,40.251284
North Decatur Jr-Sr High Sch,329,,,,,-85.477649,39.3830281
Sheridan High School,329,,,,,-86.2153577,40.140363
