School Name,Totals,Participation,Host Sectionals,Host Regionals,Host Semi-State,Longitude,Latitude
Randolph Southern Jr-Sr High Sch,172,1,0,0,0,-84.9455942,40.052241
International Sch of Indiana HS,165,1,0,0,0,-86.186585,39.834057
Waldron Jr-Sr High School,163,1,0,0,0,-85.661158,39.453185
Turkey Run High School,159,1,0,0,0,-87.2118179,39.876897
Liberty Christian School,150,1,0,0,0,-85.6675082,40.0929057
Bethany Christian School,148,1,0,0,0,-85.8271025,41.5455148
Trinity Lutheran HS,142,1,0,0,0,-85.877177,38.985783
Rock Creek Community Academy,137,1,0,0,0,-85.7621701,38.439949
Hamilton Community High Sch,121,1,0,0,0,-84.9197758,41.5221893
Crothersville Jr-Sr High School,120,1,0,0,0,-85.8365242,38.797841
LaCrosse Elem & High School,118,1,0,0,0,-86.8896859,41.317746
Eminence Jr-Sr High School,116,1,0,0,0,-86.6418421,39.5242778
Indiana School For The Deaf,115,1,0,0,0,-86.1354765,39.8337753
Shawe Memorial HS,109,1,0,0,0,-85.3889876,38.7581139
Union (Modoc) Junior & High School,107,1,0,0,0,-85.1413044,40.0470503
Bethesda Christian School,106,1,0,0,0,-86.412057,39.877906
Covenant Christian (DeMotte) HS,99,1,0,0,0,-87.2051442,41.1875696
Lakeland Christian Academy,99,1,0,0,0,-85.7958263,41.2191718
Vincennes Rivet Middle & HS,98,1,0,0,0,-87.5342088,38.6780842
Traders Point Christian Academy *,96,1,0,0,0,-86.3629354,39.9461919
Seton Catholic High School,92,1,0,0,0,-84.8954085,39.824989
Evansville Day School,81,1,0,0,0,-87.4949294,38.0106021
Cannelton Elem & High School,73,1,0,0,0,-86.7439858,37.9100712
